"Position","Info","Title","Website","Phone","email","facebook"
17,"Data found
	
Anclademia - Escuela Náutica en Barcelona
	
https://anclademia.com/?utm_source=google&utm_medium=local-pack&utm_campaign=google_my_business
	
+34 934 59 57 50
	
info@anclademia.com
	
https://facebook.com/anclademia
	
https://instagram.com/anclademia
	
	
https://www.linkedin.com/company/anclademia","Anclademia - Escuela Náutica en Barcelona","https://anclademia.com/?utm_source=google&utm_medium=local-pack&utm_campaign=google_my_business","+34 934 59 57 50","info@anclademia.com","https://facebook.com/anclademia"
18,"Data found
	
Escola Nàutica Gènova - Escuela Náutica Barcelona - Cursos Náuticos Barcelona
	
https://www.nauticagenova.com/
	
+34 937 88 53 25
	
admin@nauticagenova.com
	
https://www.facebook.com/nauticagenova
	
https://www.instagram.com/escolanauticagenova
	
	
https://www.linkedin.com/company/nauticagenova/?originalSubdomain=es","Escola Nàutica Gènova - Escuela Náutica Barcelona - Cursos Náuticos Barcelona","https://www.nauticagenova.com/","+34 937 88 53 25","admin@nauticagenova.com","https://www.facebook.com/nauticagenova"
19,"Data found
	
Escuela Nautica Neptuno
	
https://www.neptuno.es/
	
+34 932 24 71 99
	
info@neptuno.es
	
https://www.facebook.com/escuelanauticabarcelona
	
https://www.instagram.com/neptuno_barcelona/","Escuela Nautica Neptuno","https://www.neptuno.es/","+34 932 24 71 99","info@neptuno.es","https://www.facebook.com/escuelanauticabarcelona"
20,"Data found
	
Escuela Nautic Ocean
	
http://www.escuelanauticocean.com/
	
+34 656 85 67 39
	
reservas@nauticocean.com
	
https://www.facebook.com/nauticocean
	
https://www.instagram.com/nauticocean/?hl=es
	
https://twitter.com/NauticOcean","Escuela Nautic Ocean","http://www.escuelanauticocean.com/","+34 656 85 67 39","reservas@nauticocean.com","https://www.facebook.com/nauticocean"
21,"Data found
	
Escuela de Navegación RCNB
	
http://escuelarcnb.com/
	
+34 932 21 65 21
	
escuela@rcnb.com","Escuela de Navegación RCNB","http://escuelarcnb.com/","+34 932 21 65 21","escuela@rcnb.com",
22,"Data found
	
Escuela Nàutica BonaProa
	
https://bonaproa.com/
	
+34 663 68 71 00","Escuela Nàutica BonaProa","https://bonaproa.com/","+34 663 68 71 00",,
23,"Data found
	
ESCUELA NÁUTICA ALTAIR & SAILING TRIPS BCN
	
https://www.escuelanauticaaltair.com/
	
+34 933 48 33 58
	
info@escuelanauticaaltair.com
	
https://es-es.facebook.com/RicardSailing/
	
https://www.instagram.com/escuelanauticaaltair","ESCUELA NÁUTICA ALTAIR & SAILING TRIPS BCN","https://www.escuelanauticaaltair.com/","+34 933 48 33 58","info@escuelanauticaaltair.com","https://es-es.facebook.com/RicardSailing/"
24,"Data found
	
Escuela Náutica de Catalunya - Cursos de náutica online
	
http://www.enc.es/
	
+34 637 93 82 89
	
info@enc.es","Escuela Náutica de Catalunya - Cursos de náutica online","http://www.enc.es/","+34 637 93 82 89","info@enc.es",
25,"Data found
	
Yacht Point Escuela Náutica
	
http://www.yachtpointbcn.com/
	
+34 938 28 87 53
	
info@yachtpointbcn.com
	
https://www.facebook.com/yachtpoint/
	
https://www.instagram.com/escolanauticayachtpoint/
	
https://twitter.com/YACHTPOINT
	
https://www.linkedin.com/company/yacht-point?trk=tyah&trkInfo=tarId%3A1406224084180%2Ctas%3Ayacht%20point%2Cidx%3A2-2-5","Yacht Point Escuela Náutica","http://www.yachtpointbcn.com/","+34 938 28 87 53","info@yachtpointbcn.com","https://www.facebook.com/yachtpoint/"
26,"Data found
	
EscolaPort
	
https://escolaportbarcelona.com/fpdelmar-stcw/
	
+34 932 21 03 80
	
profesionales@escolaportbarcelona.com
	
	
https://www.instagram.com/escolaportbarcelona/","EscolaPort","https://escolaportbarcelona.com/fpdelmar-stcw/","+34 932 21 03 80","profesionales@escolaportbarcelona.com",
27,"Data found
	
Facultad de Náutica de Barcelona UPC
	
https://www.fnb.upc.edu/
	
+34 934 01 79 36
	
	
https://www.facebook.com/facultat.nautica.barcelona.upc/
	
https://www.instagram.com/fnb_upc
	
	
https://www.linkedin.com/in/facultat-n%C3%A0utica-barcelona-389a672b1/?lipi=urn%3Ali%3Apage%3Ad_flagship3_feed%3ByWXgZeQaTiauYi4f6CsdKA%3D%3D","Facultad de Náutica de Barcelona UPC","https://www.fnb.upc.edu/","+34 934 01 79 36",,"https://www.facebook.com/facultat.nautica.barcelona.upc/"
28,"Data found
	
ESCUELA NÁUTICA DE VALENCIA - Licencia de Navegación, PNB, PER y PY
	
https://escuelanauticadevalencia.es/
	
+34 655 48 77 16
	
info@escuelanauticadevalencia.es
	
http://www.facebook.com/escuela.nautica.de.valencia
	
http://www.instagram.com/escuelanauticadevalencia","ESCUELA NÁUTICA DE VALENCIA - Licencia de Navegación, PNB, PER y PY","https://escuelanauticadevalencia.es/","+34 655 48 77 16","info@escuelanauticadevalencia.es","http://www.facebook.com/escuela.nautica.de.valencia"
29,"Data found
	
Escuela Náutica Baleares - Valnáutica S.L.
	
https://www.escuelanauticabaleares.com/
	
+34 963 37 43 78
	
valnautica@escuelanauticabaleares.com
	
https://www.facebook.com/Escuela-Nautica-Baleares-443970615761174/
	
https://www.instagram.com/escuela_nautica_baleares/
	
http://www.twitter.com/nauticabaleares
	
https://www.linkedin.com/company/escuela-n%C3%A1utica-baleares---valn%C3%A1utica-s-l-","Escuela Náutica Baleares - Valnáutica S.L.","https://www.escuelanauticabaleares.com/","+34 963 37 43 78","valnautica@escuelanauticabaleares.com","https://www.facebook.com/Escuela-Nautica-Baleares-443970615761174/"
30,"Data found
	
Escuela Náutica Dragut Online - Cursos Online PER, PNB, PY.
	
https://www.dragutnou.com/
	
+34 671 00 14 56
	
info@dragutnou.com
	
	
https://www.instagram.com/escuelanauticaonlinedragut/
	
https://twitter.com/dragutnou","Escuela Náutica Dragut Online - Cursos Online PER, PNB, PY.","https://www.dragutnou.com/","+34 671 00 14 56","info@dragutnou.com",
31,"Data found
	
Prácticas Náuticas Valencia
	
https://practicasnauticasvalencia.com/
	
+34 699 87 86 10
	
info@practicasnauticasvalencia.com
	
https://www.facebook.com/Pr%C3%A1cticas-N%C3%A1uticas-Valencia-353268281444190","Prácticas Náuticas Valencia","https://practicasnauticasvalencia.com/","+34 699 87 86 10","info@practicasnauticasvalencia.com","https://www.facebook.com/Pr%C3%A1cticas-N%C3%A1uticas-Valencia-353268281444190"
32,"Data found
	
Escuela Náutica Alfa
	
http://www.alfaescuelanautica.com/
	
+34 610 21 19 98
	
info@escuelanauticaalfa.com","Escuela Náutica Alfa","http://www.alfaescuelanautica.com/","+34 610 21 19 98","info@escuelanauticaalfa.com",
33,"Data found
	
Escuela Nautica Valencia - Curso PER, PNB, PY, Licencia Navegacion
	
https://opticasvalencia.com/
	
+34 681 07 58 83
	
	
https://www.facebook.com/OpticaSantanderValencia/
	
https://www.instagram.com/opticasantandervalencia/","Escuela Nautica Valencia - Curso PER, PNB, PY, Licencia Navegacion","https://opticasvalencia.com/","+34 681 07 58 83",,"https://www.facebook.com/OpticaSantanderValencia/"
34,"Data found
	
Siboney - Escuela Nautica Valencia
	
https://escuelanauticasiboney.com/
	
+34 619 52 96 93
	
infoescuelanauticasiboney@gmail.com","Siboney - Escuela Nautica Valencia","https://escuelanauticasiboney.com/","+34 619 52 96 93","infoescuelanauticasiboney@gmail.com",
35,"Data found
	
Atar Cabos | Escuela Náutica
	
https://atarcabos.com/
	
+34 644 26 07 60
	
	
https://www.facebook.com/atarcabos/
	
https://www.instagram.com/atarcabos/","Atar Cabos | Escuela Náutica","https://atarcabos.com/","+34 644 26 07 60",,"https://www.facebook.com/atarcabos/"
36,"Data found
	
Avante Escuela Náutica Valencia
	
https://www.avantecursos.com/escuela-nautica-valencia/
	
+34 963 20 12 35
	
valencia@avantecursos.com
	
https://www.facebook.com/cursospracticasnavegacion/
	
https://www.instagram.com/avantecentrodevela/
	
https://twitter.com/AvanteVela","Avante Escuela Náutica Valencia","https://www.avantecursos.com/escuela-nautica-valencia/","+34 963 20 12 35","valencia@avantecursos.com","https://www.facebook.com/cursospracticasnavegacion/"
37,"Data found
	
Escuela Náutica Orión
	
https://www.nauticaorion.com/
	
+34 623 10 31 77
	
info@nauticaorion.com
	
https://www.facebook.com/nauticaorionvlc/
	
https://www.instagram.com/nauticaorion/","Escuela Náutica Orión","https://www.nauticaorion.com/","+34 623 10 31 77","info@nauticaorion.com","https://www.facebook.com/nauticaorionvlc/"
38,"Data found
	
Escuela Náutica Alisios
	
http://www.escuelanauticaalisios.com/
	
+34 640 53 88 63
	
info@escuelanauticaalisios.com
	
https://www.facebook.com/escuelanauticaalisios/
	
https://www.instagram.com/escuelanauticaalisios/","Escuela Náutica Alisios","http://www.escuelanauticaalisios.com/","+34 640 53 88 63","info@escuelanauticaalisios.com","https://www.facebook.com/escuelanauticaalisios/"
39,"No data found
	
ESPAI NAUTIC
	
http://www.espainautic.es/
	
+34 961 14 02 86","ESPAI NAUTIC","http://www.espainautic.es/","+34 961 14 02 86",,
40,"Data found
	
VLCNÁUTICA
	
http://www.vlcnautica.com/
	
+34 634 36 62 03
	
info@vlcnautica.com
	
	
https://www.instagram.com/vlcnautica","VLCNÁUTICA","http://www.vlcnautica.com/","+34 634 36 62 03","info@vlcnautica.com",
41,"Data found
	
ESCUELA NÁUTICA MARE NOSTRUM
	
http://www.escuelanauticamarenostrum.com/
	
+34 685 89 88 63
	
	
https://www.facebook.com/marenostrumescuelanautica/
	
https://www.instagram.com/escuelanauticamarenostrum/","ESCUELA NÁUTICA MARE NOSTRUM","http://www.escuelanauticamarenostrum.com/","+34 685 89 88 63",,"https://www.facebook.com/marenostrumescuelanautica/"
42,"No website found
	
Escuela Náutica Ballestrinque
	
	
+34 627 11 09 71","Escuela Náutica Ballestrinque",,"+34 627 11 09 71",,
43,"Data found
	
Cenáutica Alicante. Escuela náutica
	
https://www.cenautica.com/escuela-nautica/escuela-nautica-alicante?utm_source=google&utm_medium=organic&utm_campaign=gmb-alicante
	
+34 965 12 03 71
	
info@cenautica.com
	
https://www.facebook.com/cenautica
	
https://www.instagram.com/cenautica/
	
	
https://www.linkedin.com/company/cenautica","Cenáutica Alicante. Escuela náutica","https://www.cenautica.com/escuela-nautica/escuela-nautica-alicante?utm_source=google&utm_medium=organic&utm_campaign=gmb-alicante","+34 965 12 03 71","info@cenautica.com","https://www.facebook.com/cenautica"
44,"Data found
	
Academia Nautix - Cursos Naúticos y Alquiler de Embarcaciones
	
https://academianautix.com/
	
+34 641 14 89 60
	
info@academianautix.com
	
https://www.facebook.com/academianautix/
	
https://www.instagram.com/academianautix/","Academia Nautix - Cursos Naúticos y Alquiler de Embarcaciones","https://academianautix.com/","+34 641 14 89 60","info@academianautix.com","https://www.facebook.com/academianautix/"
45,"Data found
	
Academia Náutica Océano - Cursos, Prácticas, Vela, Radio, Chárter
	
http://www.academianauticaoceano.com/
	
+34 640 34 80 52
	
info@academianauticaoceano.com
	
https://www.facebook.com/academianauticaoceano
	
https://www.instagram.com/academianauticaoceano/","Academia Náutica Océano - Cursos, Prácticas, Vela, Radio, Chárter","http://www.academianauticaoceano.com/","+34 640 34 80 52","info@academianauticaoceano.com","https://www.facebook.com/academianauticaoceano"
46,"No website found
	
Academia Náutica Océano - Charter y prácticas de navegación
	
	
+34 640 34 80 52","Academia Náutica Océano - Charter y prácticas de navegación",,"+34 640 34 80 52",,
47,"No data found
	
Milla 11. Academia náutica, alquiler de barcos
	
https://millaonce.com/
	
+34 647 95 97 42","Milla 11. Academia náutica, alquiler de barcos","https://millaonce.com/","+34 647 95 97 42",,
48,"Data found
	
Escuela Náutica Easy Sailing
	
http://easysailing.es/
	
+34 624 15 84 28
	
%20info@easysailing.es
	
https://web.facebook.com/easysailing.es?_rdc=1&_rdr
	
https://www.instagram.com/easysailing.es/","Escuela Náutica Easy Sailing","http://easysailing.es/","+34 624 15 84 28","%20info@easysailing.es","https://web.facebook.com/easysailing.es?_rdc=1&_rdr"
49,"Data found
	
Escuela Náutica Altea - Acronáutica
	
http://www.acronautica.com/
	
+34 690 73 76 26
	
info@acronautica.com
	
https://www.facebook.com/Academiacronautica/
	
https://www.instagram.com/acronautica/
	
https://twitter.com/acronautica
	
https://www.linkedin.com/legal/cookie-policy","Escuela Náutica Altea - Acronáutica","http://www.acronautica.com/","+34 690 73 76 26","info@acronautica.com","https://www.facebook.com/Academiacronautica/"
50,"Data found
	
Ociovela
	
https://ociovela.com/
	
+34 625 04 98 45
	
info@ociovela.com
	
https://www.facebook.com/ociovela/
	
https://www.instagram.com/ociovela/
	
	
https://www.linkedin.com/company/80967802/admin/","Ociovela","https://ociovela.com/","+34 625 04 98 45","info@ociovela.com","https://www.facebook.com/ociovela/"
51,"Data found
	
Escuela Náutica Alisios Alicante
	
http://escuelanauticaalisios.com/
	
+34 661 32 34 62
	
info@escuelanauticaalisios.com
	
https://www.facebook.com/escuelanauticaalisios/
	
https://www.instagram.com/escuelanauticaalisios/","Escuela Náutica Alisios Alicante","http://escuelanauticaalisios.com/","+34 661 32 34 62","info@escuelanauticaalisios.com","https://www.facebook.com/escuelanauticaalisios/"
52,"No website found
	
Escuela Deportes Náuticos","Escuela Deportes Náuticos",,,,
53,"No data found
	
Academia náutica LA NAO
	
http://www.academialanao.com/
	
+34 644 67 10 34","Academia náutica LA NAO","http://www.academialanao.com/","+34 644 67 10 34",,
54,"Data found
	
Oceanautic - 🌊 Escuela Naútica en Málaga
	
https://www.oceanautic.es/?utm_source=mybusinessescuela&utm_medium=my+business&utm_campaign=my-business
	
+34 684 17 57 65
	
info@oceanautic.es
	
https://www.facebook.com/oceanautic.club
	
https://www.instagram.com/oceanautic/
	
https://twitter.com/oceanautic","Oceanautic - 🌊 Escuela Naútica en Málaga","https://www.oceanautic.es/?utm_source=mybusinessescuela&utm_medium=my+business&utm_campaign=my-business","+34 684 17 57 65","info@oceanautic.es","https://www.facebook.com/oceanautic.club"
55,"Data found
	
Oceanautic - 🚢 Alquiler de barcos en Málaga
	
https://www.oceanautic.es/?utm_source=mybusinessalquiler&utm_medium=my+business&utm_campaign=my-business
	
+34 684 17 57 65
	
info@oceanautic.es
	
https://www.facebook.com/oceanautic.club
	
https://www.instagram.com/oceanautic/
	
https://twitter.com/oceanautic","Oceanautic - 🚢 Alquiler de barcos en Málaga","https://www.oceanautic.es/?utm_source=mybusinessalquiler&utm_medium=my+business&utm_campaign=my-business","+34 684 17 57 65","info@oceanautic.es","https://www.facebook.com/oceanautic.club"
56,"Data found
	
Náutica Formación - Escuela Náutica Oficial de Málaga
	
https://nauticaformacion.es/
	
+34 601 20 20 02
	
marketing@laborali.com
	
https://www.facebook.com/nauticaformacion/
	
https://www.instagram.com/nauticaformacion/
	
https://twitter.com/nauticaform
	
https://es.linkedin.com/company/n%C3%A1utica-formaci%C3%B3n","Náutica Formación - Escuela Náutica Oficial de Málaga","https://nauticaformacion.es/","+34 601 20 20 02","marketing@laborali.com","https://www.facebook.com/nauticaformacion/"
57,"Data found
	
Escuela Náutica La Mar de Málaga|Cursos PER-PNB|Licencias Navegación|Titulín
	
https://escuelanauticalamardemalaga.com/
	
+34 601 41 58 58
	
info@escuelanauticalamardemalaga.com
	
https://www.facebook.com/escuelalamardemalaga/
	
https://www.instagram.com/lamardemalagaescuela/","Escuela Náutica La Mar de Málaga|Cursos PER-PNB|Licencias Navegación|Titulín","https://escuelanauticalamardemalaga.com/","+34 601 41 58 58","info@escuelanauticalamardemalaga.com","https://www.facebook.com/escuelalamardemalaga/"
58,"Data found
	
Málaga Shine - Escuela Náutica
	
https://malagashine.com/
	
+34 682 07 19 73
	
escuelanautica@malagashine.com
	
https://www.facebook.com/malagashine
	
https://www.instagram.com/malagashine_oficial/","Málaga Shine - Escuela Náutica","https://malagashine.com/","+34 682 07 19 73","escuelanautica@malagashine.com","https://www.facebook.com/malagashine"
59,"Data found
	
Escuela Náutica - Marinero a Bordo
	
https://marineroabordo.com/
	
+34 601 20 20 02
	
info@marineroabordo.com
	
https://www.facebook.com/marineroabordo/
	
https://www.instagram.com/marineroabordo_/
	
https://twitter.com/marineroabordo_
	
https://www.linkedin.com/company/marinero-a-bordo/","Escuela Náutica - Marinero a Bordo","https://marineroabordo.com/","+34 601 20 20 02","info@marineroabordo.com","https://www.facebook.com/marineroabordo/"
60,"Data found
	
Academia Náutica RCC
	
https://academianauticarcc.com/
	
+34 622 65 47 14
	
	
	
https://www.instagram.com/academianauticarcc/","Academia Náutica RCC","https://academianauticarcc.com/","+34 622 65 47 14",,
61,"Data found
	
Boat Málaga - Academia Náutica Oficial El Candado
	
https://www.boatmalaga.com/
	
+34 681 33 35 59
	
nacho@boatmalaga.com
	
https://www.facebook.com/boatmalaga
	
https://www.instagram.com/boatmalaga/","Boat Málaga - Academia Náutica Oficial El Candado","https://www.boatmalaga.com/","+34 681 33 35 59","nacho@boatmalaga.com","https://www.facebook.com/boatmalaga"
62,"No website found
	
Federación de vela Málaga
	
	
+34 627 79 16 23","Federación de vela Málaga",,"+34 627 79 16 23",,
63,"Data found
	
Boat Málaga - Prácticas Oficiales PER
	
https://www.boatmalaga.com/practicas-per-malaga/
	
+34 681 33 35 59
	
nacho@boatmalaga.com
	
https://www.facebook.com/boatmalaga
	
https://www.instagram.com/boatmalaga/","Boat Málaga - Prácticas Oficiales PER","https://www.boatmalaga.com/practicas-per-malaga/","+34 681 33 35 59","nacho@boatmalaga.com","https://www.facebook.com/boatmalaga"
64,"No website found
	
Una.one Academia Náutica
	
	
+34 615 93 44 44","Una.one Academia Náutica",,"+34 615 93 44 44",,
65,"Data found
	
Polaris by Sail and Fun Formación
	
https://www.sailandfun.es/
	
+34 952 21 95 18
	
info@sailandfun.es
	
https://www.facebook.com/SailandFunFormacion
	
https://www.instagram.com/polaris_formacion_maritima/
	
https://twitter.com/Sail_and_Fun
	
https://es.linkedin.com/company/sail-and-fun","Polaris by Sail and Fun Formación","https://www.sailandfun.es/","+34 952 21 95 18","info@sailandfun.es","https://www.facebook.com/SailandFunFormacion"
66,"Data found
	
Escuela de vela El Palo
	
https://www.malagaseaexperiences.com/sailing-academy
	
+34 613 75 67 86
	
malagaseaexperiences@gmail.com
	
https://www.facebook.com/wix
	
https://www.instagram.com/wix
	
https://www.twitter.com/wix
	
https://www.linkedin.com/company/wix-com","Escuela de vela El Palo","https://www.malagaseaexperiences.com/sailing-academy","+34 613 75 67 86","malagaseaexperiences@gmail.com","https://www.facebook.com/wix"
67,"Data found
	
Formación Náutica Online
	
https://www.formacionnauticaonline.com/
	
+34 682 07 19 73
	
info@formacionnauticaonline.com
	
https://www.facebook.com/malagashine
	
https://www.instagram.com/malagashine_escuelanautica/","Formación Náutica Online","https://www.formacionnauticaonline.com/","+34 682 07 19 73","info@formacionnauticaonline.com","https://www.facebook.com/malagashine"
68,"Data found
	
Nautic Luis - Mallorca
	
https://nauticluis.com/
	
+34 660 99 47 24
	
nauticluis@nauticluis.com
	
https://www.facebook.com/NauticLuis/
	
https://www.instagram.com/nauticluis/
	
https://twitter.com/NauticLuis
	
https://www.linkedin.com/company/nauticluis/","Nautic Luis - Mallorca","https://nauticluis.com/","+34 660 99 47 24","nauticluis@nauticluis.com","https://www.facebook.com/NauticLuis/"
69,"Data found
	
Deep Blue Sea Training
	
http://www.deepbluesea.training/
	
+34 971 90 21 00
	
hello@deepbluesea.training
	
https://www.facebook.com/deepblueseatraining
	
https://www.instagram.com/deepblueseapalma/
	
https://twitter.com/deepbluepalma","Deep Blue Sea Training","http://www.deepbluesea.training/","+34 971 90 21 00","hello@deepbluesea.training","https://www.facebook.com/deepblueseatraining"
70,"Data found
	
Escuela Balear Náutica
	
http://www.escuelabalearnautica.com/
	
+34 615 40 00 84
	
info@escuelabalearnautica.com
	
https://www.facebook.com/escuelabalearnautica
	
https://www.instagram.com/escuelabalearnautica/
	
https://twitter.com/escuelanauticam?lang=es","Escuela Balear Náutica","http://www.escuelabalearnautica.com/","+34 615 40 00 84","info@escuelabalearnautica.com","https://www.facebook.com/escuelabalearnautica"
71,"Data found
	
Escuela Náutica NAVEGA Palma
	
http://www.escuelanavega.com/
	
+34 618 32 58 28
	
escuelanavega@gmail.com
	
https://www.facebook.com/escuelanavega/
	
https://instagram.com/escuelanavega?igshid=1sdgdbsscdga8","Escuela Náutica NAVEGA Palma","http://www.escuelanavega.com/","+34 618 32 58 28","escuelanavega@gmail.com","https://www.facebook.com/escuelanavega/"
72,"Data found
	
Escuela Náutica NAVEGA en Palma
	
http://www.escuelanavega.com/
	
+34 618 32 58 28
	
escuelanavega@gmail.com
	
https://www.facebook.com/escuelanavega/
	
https://instagram.com/escuelanavega?igshid=1sdgdbsscdga8","Escuela Náutica NAVEGA en Palma","http://www.escuelanavega.com/","+34 618 32 58 28","escuelanavega@gmail.com","https://www.facebook.com/escuelanavega/"
73,"No data found
	
Academia Nautica Mallorca
	
https://www.academianauticamallorca.com/
	
+34 871 15 36 65","Academia Nautica Mallorca","https://www.academianauticamallorca.com/","+34 871 15 36 65",,
